account,name,total_orders_reward,multiplier
0xacd5f5d5cbcb52bdf424a87d9c66ce4b29d62f63,qvoid,157988,500
0xd0f46a5d48596409264d4efc1f3b229878fff743,proofofjake,122845,400
0x19e900f9ee644b19c566cf4351d15e763768140e,melon130,106761,300
0xa68db2947f2e155f3df2065235ab7007b1542eea,moula,98395,250
0xe185889d284a987773fdc1db2566a68719398599,jfv123.eth,94136,200
0x7f4e21b39d6506e333b9b470b3fdedd4fcbbc6e8,CryptoGaming,87594,150
0xa7c720266a3d834635cfc86f5249ee73164efb9c,ACTRADING,86468,100
0x41a2504348072d4d706b15770b9a3fd0dd6f570a,gink,83916,75
0x84bbcdab15beaf1dfe085cba7fbfc3aa2550e3a3,mathsonchain,82640,50
0x0e77e714c4d7bc65add388b7ee5247a947bc8fc6,murder_209,75844,46.73329985
0x9b52a3453b95b1d22e068e87853fb6be46e23eb7,Bake show,73981,27.73819689
0xba8a669738f217059a312e3f11c9b2e7344605c5,ducke,69486,26.04495229
0xbd68e373eee0226e245231b34bbfb8b571c5c509,Thismad!,67698,25.3714214
0xb90a5ed33685de3107aceb8359e9ebf1786b13a5,manihatebugs,67091,25.14276745
0x4d300a9b48bcef03daf16618bdadb5028ac15f8f,orange,66552,24.93972878
0x40c656bad5f3cd2379cc8c228acb4a1abfb20d16,janjan,63155,23.66009543
0x2651d2ecddc0afaace59fc463221b00c89a148c4,notastump_,62024,23.23405324
0x8f09eef679904f64752523f95db664039df278e2,heyyawn,60352,22.60421899
0x5f26519f19c0527f1d87c75c2b4cebf0d2f57767,JOJOKILLER,60126,22.51908589
0xb7baa1ed6d2c0df69b055fd1a88856a0baa83f15,Dinzor,59878,22.42566549
0x4c3c98f41bf55af6dfc64a45265c68c1e2281bbe,vicvic,55793,20.8868659
0xe706f6b5e7f9e2320b02a77758c9a0bc3397e0e5,overmillion,55255,20.68420392
0xfcc836c2bab4787a4556c3f01824c5338ec778cf,stump,51842,19.39854345
0x630ae416013fa03df63515f6679d169f32bd7440,CSJAYBIT,50564,18.91712707
0x24b54fb5dacb089d68e4be47d90098668e4fbf79,J0K3R,50310,18.82144651
0x8046108b92eeaa28b8970b6294bfd432dc382c7d,kaikai,48135,18.00213461
0xdfae16ec457a636d47f291a9721063180c124951,bimbotyp,48025,17.96069814
